id,college02,num_weight,experience02,parentrelations,height_total_inches,sex,married02,cocaine,urbanrural,race,y_arrestedafter2002,nshot_summary_text
15,"not enrolled, no high school degree, no GED",165,0,"biological mother, marital status unknown",72,male,"never married, not cohabiting",True,urban,hispanic,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 165, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 72, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is urban, and race is hispanic"
16,"not enrolled, high school degree",187,2,"biological mother, marital status unknown",73,male,"never married, not cohabiting",True,urban,black,True,"current education status is not enrolled, high school degree, and weight in pounds is 187, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 73, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is urban, and race is black"
17,"not enrolled, high school degree",160,3,"biological mother, marital status unknown",65,male,"never married, cohabiting",False,Unknown,black,False,"current education status is not enrolled, high school degree, and weight in pounds is 160, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 65, and sex is male, and current marriage status is never married, cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is Unknown, and race is black"
18,"not enrolled, GED",170,1,"biological mother, marital status unknown",65,male,"never married, cohabiting",False,urban,white,False,"current education status is not enrolled, GED, and weight in pounds is 170, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 65, and sex is male, and current marriage status is never married, cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is white"
19,"not enrolled, high school degree",185,5,Unknown,68,male,"never married, cohabiting",True,urban,white,False,"current education status is not enrolled, high school degree, and weight in pounds is 185, and number of jobs held in past year is 5, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 68, and sex is male, and current marriage status is never married, cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is urban, and race is white"
20,"not enrolled, some college",135,5,both biological parents,66,male,"never married, not cohabiting",True,urban,white,False,"current education status is not enrolled, some college, and weight in pounds is 135, and number of jobs held in past year is 5, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 66, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is urban, and race is white"
21,enrolled in a 4-year college,160,1,both biological parents,66,male,"never married, not cohabiting",False,urban,hispanic,True,"current education status is enrolled in a 4-year college, and weight in pounds is 160, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 66, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is hispanic"
22,"not enrolled, some college",190,1,Unknown,67,male,"married, spouse present",False,Unknown,hispanic,False,"current education status is not enrolled, some college, and weight in pounds is 190, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 67, and sex is male, and current marriage status is married, spouse present, and used cocaine past 3 years is False, and grew up at age 12 in area is Unknown, and race is hispanic"
23,"not enrolled, some college",140,1,both biological parents,68,male,"never married, not cohabiting",True,urban,hispanic,True,"current education status is not enrolled, some college, and weight in pounds is 140, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 68, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is urban, and race is hispanic"
24,"not enrolled, high school degree",117,1,Unknown,65,female,"never married, cohabiting",False,Unknown,hispanic,False,"current education status is not enrolled, high school degree, and weight in pounds is 117, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 65, and sex is female, and current marriage status is never married, cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is Unknown, and race is hispanic"
25,"not enrolled, high school degree",155,3,both biological parents,71,male,"never married, not cohabiting",True,urban,white,False,"current education status is not enrolled, high school degree, and weight in pounds is 155, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 71, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is urban, and race is white"
26,"not enrolled, no high school degree, no GED",180,3,both biological parents,83,male,"never married, not cohabiting",True,urban,white,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 180, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 83, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is urban, and race is white"
27,"not enrolled, GED",135,1,Unknown,71,male,"never married, not cohabiting",False,Unknown,black,False,"current education status is not enrolled, GED, and weight in pounds is 135, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 71, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is Unknown, and race is black"
28,"not enrolled, some college",139,2,both biological parents,64,female,"never married, not cohabiting",True,urban,white,True,"current education status is not enrolled, some college, and weight in pounds is 139, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 64, and sex is female, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is urban, and race is white"
29,"not enrolled, some college",180,4,both biological parents,66,female,"never married, not cohabiting",True,urban,white,True,"current education status is not enrolled, some college, and weight in pounds is 180, and number of jobs held in past year is 4, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 66, and sex is female, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is urban, and race is white"
30,"enrolled in grades 1-12, not a high school graduate",212,3,"biological mother, marital status unknown",61,female,"never married, not cohabiting",False,urban,hispanic,False,"current education status is enrolled in grades 1-12, not a high school graduate, and weight in pounds is 212, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 61, and sex is female, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is hispanic"
31,"not enrolled, some college",130,1,"biological mother, marital status unknown",66,male,"never married, not cohabiting",True,urban,white,False,"current education status is not enrolled, some college, and weight in pounds is 130, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 66, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is urban, and race is white"
32,"not enrolled, some college",187,1,"biological mother, marital status unknown",68,female,"never married, not cohabiting",False,urban,white,False,"current education status is not enrolled, some college, and weight in pounds is 187, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 68, and sex is female, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is white"
33,enrolled in a 4-year college,162,3,both biological parents,69,male,"never married, not cohabiting",False,urban,black,False,"current education status is enrolled in a 4-year college, and weight in pounds is 162, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 69, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is black"
34,"not enrolled, GED",240,2,Unknown,71,male,"married, spouse present",False,Unknown,asian or pacific islander,False,"current education status is not enrolled, GED, and weight in pounds is 240, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 71, and sex is male, and current marriage status is married, spouse present, and used cocaine past 3 years is False, and grew up at age 12 in area is Unknown, and race is asian or pacific islander"
35,enrolled in a 2-year college,135,1,Unknown,67,male,"never married, not cohabiting",False,Unknown,asian or pacific islander,False,"current education status is enrolled in a 2-year college, and weight in pounds is 135, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 67, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is Unknown, and race is asian or pacific islander"
36,"not enrolled, no high school degree, no GED",140,1,Unknown,65,male,"never married, not cohabiting",False,Unknown,asian or pacific islander,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 140, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 65, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is Unknown, and race is asian or pacific islander"
37,"enrolled in grades 1-12, not a high school graduate",170,1,both biological parents,70,male,"never married, cohabiting",False,urban,hispanic,False,"current education status is enrolled in grades 1-12, not a high school graduate, and weight in pounds is 170, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 70, and sex is male, and current marriage status is never married, cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is hispanic"
38,"not enrolled, no high school degree, no GED",140,4,"biological mother, marital status unknown",62,female,"married, spouse present",True,urban,hispanic,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 140, and number of jobs held in past year is 4, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 62, and sex is female, and current marriage status is married, spouse present, and used cocaine past 3 years is True, and grew up at age 12 in area is urban, and race is hispanic"
39,enrolled in a 2-year college,180,2,both biological parents,66,female,"never married, not cohabiting",True,urban,hispanic,False,"current education status is enrolled in a 2-year college, and weight in pounds is 180, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 66, and sex is female, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is urban, and race is hispanic"
40,"not enrolled, no high school degree, no GED",140,0,both biological parents,67,male,"never married, not cohabiting",True,urban,hispanic,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 140, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 67, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is urban, and race is hispanic"
41,"not enrolled, no high school degree, no GED",187,0,"other adults, biological parent status unknown, not group quarters",71,male,"separated, not cohabiting",True,urban,hispanic,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 187, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is other adults, biological parent status unknown, not group quarters, and height in inches is 71, and sex is male, and current marriage status is separated, not cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is urban, and race is hispanic"
42,"not enrolled, GED",140,1,"biological dad, marital status unknown",72,male,"never married, not cohabiting",True,urban,hispanic,False,"current education status is not enrolled, GED, and weight in pounds is 140, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and height in inches is 72, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is urban, and race is hispanic"
43,"not enrolled, high school degree",145,0,"biological dad, marital status unknown",69,male,"never married, not cohabiting",False,urban,asian or pacific islander,False,"current education status is not enrolled, high school degree, and weight in pounds is 145, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and height in inches is 69, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is asian or pacific islander"
44,"not enrolled, GED",180,0,"biological mother, marital status unknown",66,male,"never married, not cohabiting",True,Unknown,hispanic,True,"current education status is not enrolled, GED, and weight in pounds is 180, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 66, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is Unknown, and race is hispanic"
45,enrolled in a 4-year college,180,2,"biological mother, other parent present",70,male,"never married, not cohabiting",False,urban,white,False,"current education status is enrolled in a 4-year college, and weight in pounds is 180, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and height in inches is 70, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is white"
46,"not enrolled, some college",212,1,both biological parents,71,male,"never married, not cohabiting",True,urban,white,True,"current education status is not enrolled, some college, and weight in pounds is 212, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 71, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is urban, and race is white"
47,"not enrolled, no high school degree, no GED",287,1,"biological mother, marital status unknown",66,male,"never married, not cohabiting",False,urban,white,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 287, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 66, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is white"
48,"not enrolled, high school degree",179,0,"biological mother, marital status unknown",71,male,"never married, not cohabiting",False,urban,hispanic,False,"current education status is not enrolled, high school degree, and weight in pounds is 179, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 71, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is hispanic"
49,"not enrolled, no high school degree, no GED",212,2,both biological parents,64,male,"married, spouse present",False,Unknown,hispanic,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 212, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 64, and sex is male, and current marriage status is married, spouse present, and used cocaine past 3 years is False, and grew up at age 12 in area is Unknown, and race is hispanic"
50,"not enrolled, no high school degree, no GED",237,0,both biological parents,66,male,"separated, not cohabiting",False,Unknown,hispanic,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 237, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 66, and sex is male, and current marriage status is separated, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is Unknown, and race is hispanic"
51,"not enrolled, high school degree",195,3,Unknown,64,male,"never married, cohabiting",True,Unknown,hispanic,True,"current education status is not enrolled, high school degree, and weight in pounds is 195, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 64, and sex is male, and current marriage status is never married, cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is Unknown, and race is hispanic"
52,"not enrolled, high school degree",145,0,both biological parents,60,female,"never married, not cohabiting",False,urban,hispanic,False,"current education status is not enrolled, high school degree, and weight in pounds is 145, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 60, and sex is female, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is hispanic"
53,"not enrolled, no high school degree, no GED",146,2,Unknown,66,male,"never married, not cohabiting",False,Unknown,hispanic,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 146, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 66, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is Unknown, and race is hispanic"
54,"not enrolled, no high school degree, no GED",140,0,both biological parents,65,male,"never married, not cohabiting",False,urban,hispanic,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 140, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 65, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is hispanic"
55,"not enrolled, high school degree",178,1,Unknown,68,male,"never married, not cohabiting",False,Unknown,hispanic,True,"current education status is not enrolled, high school degree, and weight in pounds is 178, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 68, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is Unknown, and race is hispanic"
56,"not enrolled, no high school degree, no GED",60,0,Unknown,65,male,"married, spouse present",False,Unknown,hispanic,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 60, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 65, and sex is male, and current marriage status is married, spouse present, and used cocaine past 3 years is False, and grew up at age 12 in area is Unknown, and race is hispanic"
57,"not enrolled, no high school degree, no GED",187,2,"biological mother, marital status unknown",63,female,"never married, cohabiting",True,urban,white,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 187, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 63, and sex is female, and current marriage status is never married, cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is urban, and race is white"
58,"not enrolled, GED",138,1,Unknown,66,male,"never married, not cohabiting",True,Unknown,hispanic,False,"current education status is not enrolled, GED, and weight in pounds is 138, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 66, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is Unknown, and race is hispanic"
59,"not enrolled, high school degree",195,2,both biological parents,69,male,"never married, not cohabiting",True,urban,hispanic,False,"current education status is not enrolled, high school degree, and weight in pounds is 195, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 69, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is urban, and race is hispanic"
60,"enrolled in grades 1-12, not a high school graduate",212,1,both biological parents,69,male,"never married, not cohabiting",True,urban,hispanic,True,"current education status is enrolled in grades 1-12, not a high school graduate, and weight in pounds is 212, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 69, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is urban, and race is hispanic"
61,"not enrolled, GED",350,2,"biological mother, marital status unknown",69,female,"never married, not cohabiting",False,urban,white,False,"current education status is not enrolled, GED, and weight in pounds is 350, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 69, and sex is female, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is white"
62,enrolled in a 4-year college,160,0,both biological parents,73,male,"never married, not cohabiting",False,urban,asian or pacific islander,False,"current education status is enrolled in a 4-year college, and weight in pounds is 160, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 73, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is asian or pacific islander"
63,enrolled in a 4-year college,268,0,both biological parents,77,male,"never married, not cohabiting",False,urban,white,False,"current education status is enrolled in a 4-year college, and weight in pounds is 268, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 77, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is white"
64,"not enrolled, no high school degree, no GED",112,0,both biological parents,62,female,"never married, cohabiting",False,urban,hispanic,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 112, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 62, and sex is female, and current marriage status is never married, cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is hispanic"
65,"not enrolled, some college",115,1,both biological parents,66,female,"never married, not cohabiting",False,urban,white,False,"current education status is not enrolled, some college, and weight in pounds is 115, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 66, and sex is female, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is white"
66,"not enrolled, no high school degree, no GED",210,0,"biological mother, marital status unknown",74,male,"never married, not cohabiting",True,urban,white,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 210, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 74, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is urban, and race is white"
67,"not enrolled, no high school degree, no GED",160,1,"biological mother, marital status unknown",68,male,"never married, not cohabiting",True,urban,white,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 160, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 68, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is urban, and race is white"
68,"not enrolled, high school degree",180,1,"biological mother, other parent present",76,male,"never married, cohabiting",False,rural,white,True,"current education status is not enrolled, high school degree, and weight in pounds is 180, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and height in inches is 76, and sex is male, and current marriage status is never married, cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is rural, and race is white"
69,"not enrolled, some college",130,3,"biological mother, other parent present",65,female,"never married, not cohabiting",True,Unknown,white,False,"current education status is not enrolled, some college, and weight in pounds is 130, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and height in inches is 65, and sex is female, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is Unknown, and race is white"
