id,college02,parentrelations,married02,urbanrural,faminjail,experience02,homelessness,askgod,sex,foodstamp,hhsize97,cocaine,depression,convictedby2002,marijuana_anydrug,victim,num_weight,numberofarrestsby2002,race,height_total_inches,godhasnothingtodo,age,y_arrestedafter2002,nshot_summary_text
11,enrolled in a 4-year college,both biological parents,"never married, not cohabiting",urban,False,1,False,True,male,False,4,False,some of the time,True,marijuana_anydrug,False,140,1,white,70,False,22,False,"current education status is enrolled in a 4-year college, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 1, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is True, and sex is male, and used food stamps in past year is False, and household size  as teen is 4, and used cocaine past 3 years is False, and monthly frequency of severe depression is some of the time, and number of previous convictions is True, and used any drug except cocaine past 3 years is marijuana_anydrug, and victim of violent crime past 5 years is False, and weight in pounds is 140, and number of previous arrests is 1, and race is white, and height in inches is 70, and believes God has nothing to do with me is False, and age is 22"
12,"not enrolled, high school degree",Unknown,"never married, not cohabiting",Unknown,False,3,False,True,male,False,5,False,all of the time,True,marijuana_anydrug,False,145,2,white,67,False,21,False,"current education status is not enrolled, high school degree, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is Unknown, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 3, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is True, and sex is male, and used food stamps in past year is False, and household size  as teen is 5, and used cocaine past 3 years is False, and monthly frequency of severe depression is all of the time, and number of previous convictions is True, and used any drug except cocaine past 3 years is marijuana_anydrug, and victim of violent crime past 5 years is False, and weight in pounds is 145, and number of previous arrests is 2, and race is white, and height in inches is 67, and believes God has nothing to do with me is False, and age is 21"
13,enrolled in a 2-year college,"biological mother, marital status unknown","never married, not cohabiting",urban,False,3,False,True,male,False,5,False,some of the time,False,marijuana_anydrug,False,174,1,black,73,False,20,False,"current education status is enrolled in a 2-year college, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 3, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is True, and sex is male, and used food stamps in past year is False, and household size  as teen is 5, and used cocaine past 3 years is False, and monthly frequency of severe depression is some of the time, and number of previous convictions is False, and used any drug except cocaine past 3 years is marijuana_anydrug, and victim of violent crime past 5 years is False, and weight in pounds is 174, and number of previous arrests is 1, and race is black, and height in inches is 73, and believes God has nothing to do with me is False, and age is 20"
14,enrolled in a 4-year college,both biological parents,"never married, not cohabiting",urban,False,0,False,False,male,False,4,False,some of the time,True,marijuana_anydrug,False,145,1,asian or pacific islander,70,True,20,False,"current education status is enrolled in a 4-year college, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 0, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is False, and sex is male, and used food stamps in past year is False, and household size  as teen is 4, and used cocaine past 3 years is False, and monthly frequency of severe depression is some of the time, and number of previous convictions is True, and used any drug except cocaine past 3 years is marijuana_anydrug, and victim of violent crime past 5 years is False, and weight in pounds is 145, and number of previous arrests is 1, and race is asian or pacific islander, and height in inches is 70, and believes God has nothing to do with me is True, and age is 20"
15,"not enrolled, no high school degree, no GED","biological mother, marital status unknown","never married, not cohabiting",urban,False,0,False,True,male,False,5,True,all of the time,True,marijuana_anydrug,False,165,5,hispanic,72,True,20,True,"current education status is not enrolled, no high school degree, no GED, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 0, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is True, and sex is male, and used food stamps in past year is False, and household size  as teen is 5, and used cocaine past 3 years is True, and monthly frequency of severe depression is all of the time, and number of previous convictions is True, and used any drug except cocaine past 3 years is marijuana_anydrug, and victim of violent crime past 5 years is False, and weight in pounds is 165, and number of previous arrests is 5, and race is hispanic, and height in inches is 72, and believes God has nothing to do with me is True, and age is 20"
16,"not enrolled, high school degree","biological mother, marital status unknown","never married, not cohabiting",urban,False,2,False,True,male,False,5,True,none of the time,False,marijuana_anydrug,False,187,2,black,73,False,19,True,"current education status is not enrolled, high school degree, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 2, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is True, and sex is male, and used food stamps in past year is False, and household size  as teen is 5, and used cocaine past 3 years is True, and monthly frequency of severe depression is none of the time, and number of previous convictions is False, and used any drug except cocaine past 3 years is marijuana_anydrug, and victim of violent crime past 5 years is False, and weight in pounds is 187, and number of previous arrests is 2, and race is black, and height in inches is 73, and believes God has nothing to do with me is False, and age is 19"
17,"not enrolled, high school degree","biological mother, marital status unknown","never married, cohabiting",Unknown,False,3,False,True,male,False,4,False,some of the time,True,,False,160,1,black,65,False,21,False,"current education status is not enrolled, high school degree, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current marriage status is never married, cohabiting, and grew up at age 12 in area is Unknown, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 3, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is True, and sex is male, and used food stamps in past year is False, and household size  as teen is 4, and used cocaine past 3 years is False, and monthly frequency of severe depression is some of the time, and number of previous convictions is True, and used any drug except cocaine past 3 years is nan, and victim of violent crime past 5 years is False, and weight in pounds is 160, and number of previous arrests is 1, and race is black, and height in inches is 65, and believes God has nothing to do with me is False, and age is 21"
18,"not enrolled, GED","biological mother, marital status unknown","never married, cohabiting",urban,False,1,False,False,male,False,4,False,none of the time,True,marijuana_anydrug,False,170,1,white,65,False,19,False,"current education status is not enrolled, GED, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current marriage status is never married, cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 1, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is False, and sex is male, and used food stamps in past year is False, and household size  as teen is 4, and used cocaine past 3 years is False, and monthly frequency of severe depression is none of the time, and number of previous convictions is True, and used any drug except cocaine past 3 years is marijuana_anydrug, and victim of violent crime past 5 years is False, and weight in pounds is 170, and number of previous arrests is 1, and race is white, and height in inches is 65, and believes God has nothing to do with me is False, and age is 19"
19,"not enrolled, high school degree",Unknown,"never married, cohabiting",urban,False,5,False,False,male,False,3,True,none of the time,True,marijuana_anydrug,False,185,4,white,68,False,20,False,"current education status is not enrolled, high school degree, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current marriage status is never married, cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 5, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is False, and sex is male, and used food stamps in past year is False, and household size  as teen is 3, and used cocaine past 3 years is True, and monthly frequency of severe depression is none of the time, and number of previous convictions is True, and used any drug except cocaine past 3 years is marijuana_anydrug, and victim of violent crime past 5 years is False, and weight in pounds is 185, and number of previous arrests is 4, and race is white, and height in inches is 68, and believes God has nothing to do with me is False, and age is 20"
20,"not enrolled, some college",both biological parents,"never married, not cohabiting",urban,False,5,False,False,male,False,4,True,all of the time,True,marijuana_anydrug,True,135,4,white,66,True,20,False,"current education status is not enrolled, some college, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 5, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is False, and sex is male, and used food stamps in past year is False, and household size  as teen is 4, and used cocaine past 3 years is True, and monthly frequency of severe depression is all of the time, and number of previous convictions is True, and used any drug except cocaine past 3 years is marijuana_anydrug, and victim of violent crime past 5 years is True, and weight in pounds is 135, and number of previous arrests is 4, and race is white, and height in inches is 66, and believes God has nothing to do with me is True, and age is 20"
21,enrolled in a 4-year college,both biological parents,"never married, not cohabiting",urban,False,1,False,False,male,False,4,False,some of the time,False,marijuana_anydrug,False,160,1,hispanic,66,True,18,True,"current education status is enrolled in a 4-year college, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 1, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is False, and sex is male, and used food stamps in past year is False, and household size  as teen is 4, and used cocaine past 3 years is False, and monthly frequency of severe depression is some of the time, and number of previous convictions is False, and used any drug except cocaine past 3 years is marijuana_anydrug, and victim of violent crime past 5 years is False, and weight in pounds is 160, and number of previous arrests is 1, and race is hispanic, and height in inches is 66, and believes God has nothing to do with me is True, and age is 18"
22,"not enrolled, some college",Unknown,"married, spouse present",Unknown,False,1,False,True,male,False,4,False,some of the time,True,marijuana_anydrug,False,190,3,hispanic,67,False,22,False,"current education status is not enrolled, some college, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current marriage status is married, spouse present, and grew up at age 12 in area is Unknown, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 1, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is True, and sex is male, and used food stamps in past year is False, and household size  as teen is 4, and used cocaine past 3 years is False, and monthly frequency of severe depression is some of the time, and number of previous convictions is True, and used any drug except cocaine past 3 years is marijuana_anydrug, and victim of violent crime past 5 years is False, and weight in pounds is 190, and number of previous arrests is 3, and race is hispanic, and height in inches is 67, and believes God has nothing to do with me is False, and age is 22"
23,"not enrolled, some college",both biological parents,"never married, not cohabiting",urban,False,1,False,True,male,False,3,True,some of the time,True,marijuana_anydrug,True,140,6,hispanic,68,False,22,True,"current education status is not enrolled, some college, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 1, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is True, and sex is male, and used food stamps in past year is False, and household size  as teen is 3, and used cocaine past 3 years is True, and monthly frequency of severe depression is some of the time, and number of previous convictions is True, and used any drug except cocaine past 3 years is marijuana_anydrug, and victim of violent crime past 5 years is True, and weight in pounds is 140, and number of previous arrests is 6, and race is hispanic, and height in inches is 68, and believes God has nothing to do with me is False, and age is 22"
24,"not enrolled, high school degree",Unknown,"never married, cohabiting",Unknown,False,1,False,True,female,False,7,False,some of the time,False,,False,117,1,hispanic,65,True,19,False,"current education status is not enrolled, high school degree, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current marriage status is never married, cohabiting, and grew up at age 12 in area is Unknown, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 1, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is True, and sex is female, and used food stamps in past year is False, and household size  as teen is 7, and used cocaine past 3 years is False, and monthly frequency of severe depression is some of the time, and number of previous convictions is False, and used any drug except cocaine past 3 years is nan, and victim of violent crime past 5 years is False, and weight in pounds is 117, and number of previous arrests is 1, and race is hispanic, and height in inches is 65, and believes God has nothing to do with me is True, and age is 19"
25,"not enrolled, high school degree",both biological parents,"never married, not cohabiting",urban,False,3,False,False,male,False,5,True,none of the time,True,marijuana_anydrug,False,155,2,white,71,True,22,False,"current education status is not enrolled, high school degree, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 3, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is False, and sex is male, and used food stamps in past year is False, and household size  as teen is 5, and used cocaine past 3 years is True, and monthly frequency of severe depression is none of the time, and number of previous convictions is True, and used any drug except cocaine past 3 years is marijuana_anydrug, and victim of violent crime past 5 years is False, and weight in pounds is 155, and number of previous arrests is 2, and race is white, and height in inches is 71, and believes God has nothing to do with me is True, and age is 22"
26,"not enrolled, no high school degree, no GED",both biological parents,"never married, not cohabiting",urban,False,3,False,False,male,False,5,True,some of the time,True,marijuana_anydrug,False,180,1,white,83,False,18,True,"current education status is not enrolled, no high school degree, no GED, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 3, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is False, and sex is male, and used food stamps in past year is False, and household size  as teen is 5, and used cocaine past 3 years is True, and monthly frequency of severe depression is some of the time, and number of previous convictions is True, and used any drug except cocaine past 3 years is marijuana_anydrug, and victim of violent crime past 5 years is False, and weight in pounds is 180, and number of previous arrests is 1, and race is white, and height in inches is 83, and believes God has nothing to do with me is False, and age is 18"
27,"not enrolled, GED",Unknown,"never married, not cohabiting",Unknown,False,1,False,False,male,False,6,False,none of the time,False,marijuana_anydrug,False,135,1,black,71,True,19,False,"current education status is not enrolled, GED, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is Unknown, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 1, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is False, and sex is male, and used food stamps in past year is False, and household size  as teen is 6, and used cocaine past 3 years is False, and monthly frequency of severe depression is none of the time, and number of previous convictions is False, and used any drug except cocaine past 3 years is marijuana_anydrug, and victim of violent crime past 5 years is False, and weight in pounds is 135, and number of previous arrests is 1, and race is black, and height in inches is 71, and believes God has nothing to do with me is True, and age is 19"
28,"not enrolled, some college",both biological parents,"never married, not cohabiting",urban,False,2,False,False,female,False,4,True,all of the time,False,marijuana_anydrug,False,139,1,white,64,False,21,True,"current education status is not enrolled, some college, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 2, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is False, and sex is female, and used food stamps in past year is False, and household size  as teen is 4, and used cocaine past 3 years is True, and monthly frequency of severe depression is all of the time, and number of previous convictions is False, and used any drug except cocaine past 3 years is marijuana_anydrug, and victim of violent crime past 5 years is False, and weight in pounds is 139, and number of previous arrests is 1, and race is white, and height in inches is 64, and believes God has nothing to do with me is False, and age is 21"
29,"not enrolled, some college",both biological parents,"never married, not cohabiting",urban,True,4,False,True,female,False,4,True,none of the time,False,marijuana_anydrug,False,180,2,white,66,False,18,True,"current education status is not enrolled, some college, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is True, and number of jobs held in past year is 4, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is True, and sex is female, and used food stamps in past year is False, and household size  as teen is 4, and used cocaine past 3 years is True, and monthly frequency of severe depression is none of the time, and number of previous convictions is False, and used any drug except cocaine past 3 years is marijuana_anydrug, and victim of violent crime past 5 years is False, and weight in pounds is 180, and number of previous arrests is 2, and race is white, and height in inches is 66, and believes God has nothing to do with me is False, and age is 18"
30,"enrolled in grades 1-12, not a high school graduate","biological mother, marital status unknown","never married, not cohabiting",urban,False,3,False,True,female,False,6,False,some of the time,False,marijuana_anydrug,False,212,1,hispanic,61,False,20,False,"current education status is enrolled in grades 1-12, not a high school graduate, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 3, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is True, and sex is female, and used food stamps in past year is False, and household size  as teen is 6, and used cocaine past 3 years is False, and monthly frequency of severe depression is some of the time, and number of previous convictions is False, and used any drug except cocaine past 3 years is marijuana_anydrug, and victim of violent crime past 5 years is False, and weight in pounds is 212, and number of previous arrests is 1, and race is hispanic, and height in inches is 61, and believes God has nothing to do with me is False, and age is 20"
31,"not enrolled, some college","biological mother, marital status unknown","never married, not cohabiting",urban,False,1,False,True,male,False,5,True,none of the time,False,marijuana_anydrug,False,130,2,white,66,True,22,False,"current education status is not enrolled, some college, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 1, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is True, and sex is male, and used food stamps in past year is False, and household size  as teen is 5, and used cocaine past 3 years is True, and monthly frequency of severe depression is none of the time, and number of previous convictions is False, and used any drug except cocaine past 3 years is marijuana_anydrug, and victim of violent crime past 5 years is False, and weight in pounds is 130, and number of previous arrests is 2, and race is white, and height in inches is 66, and believes God has nothing to do with me is True, and age is 22"
32,"not enrolled, some college","biological mother, marital status unknown","never married, not cohabiting",urban,False,1,False,False,female,False,4,False,none of the time,False,marijuana_anydrug,False,187,1,white,68,False,22,False,"current education status is not enrolled, some college, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 1, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is False, and sex is female, and used food stamps in past year is False, and household size  as teen is 4, and used cocaine past 3 years is False, and monthly frequency of severe depression is none of the time, and number of previous convictions is False, and used any drug except cocaine past 3 years is marijuana_anydrug, and victim of violent crime past 5 years is False, and weight in pounds is 187, and number of previous arrests is 1, and race is white, and height in inches is 68, and believes God has nothing to do with me is False, and age is 22"
33,enrolled in a 4-year college,both biological parents,"never married, not cohabiting",urban,False,3,False,True,male,False,4,False,none of the time,False,marijuana_anydrug,True,162,1,black,69,True,20,False,"current education status is enrolled in a 4-year college, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 3, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is True, and sex is male, and used food stamps in past year is False, and household size  as teen is 4, and used cocaine past 3 years is False, and monthly frequency of severe depression is none of the time, and number of previous convictions is False, and used any drug except cocaine past 3 years is marijuana_anydrug, and victim of violent crime past 5 years is True, and weight in pounds is 162, and number of previous arrests is 1, and race is black, and height in inches is 69, and believes God has nothing to do with me is True, and age is 20"
34,"not enrolled, GED",Unknown,"married, spouse present",Unknown,True,2,False,True,male,False,5,False,none of the time,False,,False,240,1,asian or pacific islander,71,False,20,False,"current education status is not enrolled, GED, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current marriage status is married, spouse present, and grew up at age 12 in area is Unknown, and other adult family member in jail past 5 years is True, and number of jobs held in past year is 2, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is True, and sex is male, and used food stamps in past year is False, and household size  as teen is 5, and used cocaine past 3 years is False, and monthly frequency of severe depression is none of the time, and number of previous convictions is False, and used any drug except cocaine past 3 years is nan, and victim of violent crime past 5 years is False, and weight in pounds is 240, and number of previous arrests is 1, and race is asian or pacific islander, and height in inches is 71, and believes God has nothing to do with me is False, and age is 20"
