id,parentrelations,college02,married02,race,depression,marijuana_anydrug,homelessness,sex,urbanrural,faminjail,numberofarrestsby2002,godhasnothingtodo,experience02,hhsize97,cocaine,victim,foodstamp,num_weight,height_total_inches,age,askgod,convictedby2002,y_arrestedafter2002,nshot_summary_text
11,both biological parents,enrolled in a 4-year college,"never married, not cohabiting",white,some of the time,marijuana_anydrug,False,male,urban,False,1,False,1,4,False,False,False,140,70,22,True,True,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is enrolled in a 4-year college, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is some of the time, and used any drug except cocaine past 3 years is marijuana_anydrug, and homeless for 2 or more nights in past 5 years is False, and sex is male, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of previous arrests is 1, and believes God has nothing to do with me is False, and number of jobs held in past year is 1, and household size  as teen is 4, and used cocaine past 3 years is False, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 140, and height in inches is 70, and age is 22, and often asks God for help is True, and number of previous convictions is True"
12,Unknown,"not enrolled, high school degree","never married, not cohabiting",white,all of the time,marijuana_anydrug,False,male,Unknown,False,2,False,3,5,False,False,False,145,67,21,True,True,False,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, high school degree, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is all of the time, and used any drug except cocaine past 3 years is marijuana_anydrug, and homeless for 2 or more nights in past 5 years is False, and sex is male, and grew up at age 12 in area is Unknown, and other adult family member in jail past 5 years is False, and number of previous arrests is 2, and believes God has nothing to do with me is False, and number of jobs held in past year is 3, and household size  as teen is 5, and used cocaine past 3 years is False, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 145, and height in inches is 67, and age is 21, and often asks God for help is True, and number of previous convictions is True"
13,"biological mother, marital status unknown",enrolled in a 2-year college,"never married, not cohabiting",black,some of the time,marijuana_anydrug,False,male,urban,False,1,False,3,5,False,False,False,174,73,20,True,False,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is enrolled in a 2-year college, and current marriage status is never married, not cohabiting, and race is black, and monthly frequency of severe depression is some of the time, and used any drug except cocaine past 3 years is marijuana_anydrug, and homeless for 2 or more nights in past 5 years is False, and sex is male, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of previous arrests is 1, and believes God has nothing to do with me is False, and number of jobs held in past year is 3, and household size  as teen is 5, and used cocaine past 3 years is False, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 174, and height in inches is 73, and age is 20, and often asks God for help is True, and number of previous convictions is False"
14,both biological parents,enrolled in a 4-year college,"never married, not cohabiting",asian or pacific islander,some of the time,marijuana_anydrug,False,male,urban,False,1,True,0,4,False,False,False,145,70,20,False,True,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is enrolled in a 4-year college, and current marriage status is never married, not cohabiting, and race is asian or pacific islander, and monthly frequency of severe depression is some of the time, and used any drug except cocaine past 3 years is marijuana_anydrug, and homeless for 2 or more nights in past 5 years is False, and sex is male, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of previous arrests is 1, and believes God has nothing to do with me is True, and number of jobs held in past year is 0, and household size  as teen is 4, and used cocaine past 3 years is False, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 145, and height in inches is 70, and age is 20, and often asks God for help is False, and number of previous convictions is True"
15,"biological mother, marital status unknown","not enrolled, no high school degree, no GED","never married, not cohabiting",hispanic,all of the time,marijuana_anydrug,False,male,urban,False,5,True,0,5,True,False,False,165,72,20,True,True,True,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, no high school degree, no GED, and current marriage status is never married, not cohabiting, and race is hispanic, and monthly frequency of severe depression is all of the time, and used any drug except cocaine past 3 years is marijuana_anydrug, and homeless for 2 or more nights in past 5 years is False, and sex is male, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of previous arrests is 5, and believes God has nothing to do with me is True, and number of jobs held in past year is 0, and household size  as teen is 5, and used cocaine past 3 years is True, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 165, and height in inches is 72, and age is 20, and often asks God for help is True, and number of previous convictions is True"
16,"biological mother, marital status unknown","not enrolled, high school degree","never married, not cohabiting",black,none of the time,marijuana_anydrug,False,male,urban,False,2,False,2,5,True,False,False,187,73,19,True,False,True,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, high school degree, and current marriage status is never married, not cohabiting, and race is black, and monthly frequency of severe depression is none of the time, and used any drug except cocaine past 3 years is marijuana_anydrug, and homeless for 2 or more nights in past 5 years is False, and sex is male, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of previous arrests is 2, and believes God has nothing to do with me is False, and number of jobs held in past year is 2, and household size  as teen is 5, and used cocaine past 3 years is True, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 187, and height in inches is 73, and age is 19, and often asks God for help is True, and number of previous convictions is False"
17,"biological mother, marital status unknown","not enrolled, high school degree","never married, cohabiting",black,some of the time,,False,male,Unknown,False,1,False,3,4,False,False,False,160,65,21,True,True,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, high school degree, and current marriage status is never married, cohabiting, and race is black, and monthly frequency of severe depression is some of the time, and used any drug except cocaine past 3 years is nan, and homeless for 2 or more nights in past 5 years is False, and sex is male, and grew up at age 12 in area is Unknown, and other adult family member in jail past 5 years is False, and number of previous arrests is 1, and believes God has nothing to do with me is False, and number of jobs held in past year is 3, and household size  as teen is 4, and used cocaine past 3 years is False, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 160, and height in inches is 65, and age is 21, and often asks God for help is True, and number of previous convictions is True"
18,"biological mother, marital status unknown","not enrolled, GED","never married, cohabiting",white,none of the time,marijuana_anydrug,False,male,urban,False,1,False,1,4,False,False,False,170,65,19,False,True,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, GED, and current marriage status is never married, cohabiting, and race is white, and monthly frequency of severe depression is none of the time, and used any drug except cocaine past 3 years is marijuana_anydrug, and homeless for 2 or more nights in past 5 years is False, and sex is male, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of previous arrests is 1, and believes God has nothing to do with me is False, and number of jobs held in past year is 1, and household size  as teen is 4, and used cocaine past 3 years is False, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 170, and height in inches is 65, and age is 19, and often asks God for help is False, and number of previous convictions is True"
19,Unknown,"not enrolled, high school degree","never married, cohabiting",white,none of the time,marijuana_anydrug,False,male,urban,False,4,False,5,3,True,False,False,185,68,20,False,True,False,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, high school degree, and current marriage status is never married, cohabiting, and race is white, and monthly frequency of severe depression is none of the time, and used any drug except cocaine past 3 years is marijuana_anydrug, and homeless for 2 or more nights in past 5 years is False, and sex is male, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of previous arrests is 4, and believes God has nothing to do with me is False, and number of jobs held in past year is 5, and household size  as teen is 3, and used cocaine past 3 years is True, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 185, and height in inches is 68, and age is 20, and often asks God for help is False, and number of previous convictions is True"
20,both biological parents,"not enrolled, some college","never married, not cohabiting",white,all of the time,marijuana_anydrug,False,male,urban,False,4,True,5,4,True,True,False,135,66,20,False,True,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, some college, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is all of the time, and used any drug except cocaine past 3 years is marijuana_anydrug, and homeless for 2 or more nights in past 5 years is False, and sex is male, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of previous arrests is 4, and believes God has nothing to do with me is True, and number of jobs held in past year is 5, and household size  as teen is 4, and used cocaine past 3 years is True, and victim of violent crime past 5 years is True, and used food stamps in past year is False, and weight in pounds is 135, and height in inches is 66, and age is 20, and often asks God for help is False, and number of previous convictions is True"
21,both biological parents,enrolled in a 4-year college,"never married, not cohabiting",hispanic,some of the time,marijuana_anydrug,False,male,urban,False,1,True,1,4,False,False,False,160,66,18,False,False,True,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is enrolled in a 4-year college, and current marriage status is never married, not cohabiting, and race is hispanic, and monthly frequency of severe depression is some of the time, and used any drug except cocaine past 3 years is marijuana_anydrug, and homeless for 2 or more nights in past 5 years is False, and sex is male, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of previous arrests is 1, and believes God has nothing to do with me is True, and number of jobs held in past year is 1, and household size  as teen is 4, and used cocaine past 3 years is False, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 160, and height in inches is 66, and age is 18, and often asks God for help is False, and number of previous convictions is False"
22,Unknown,"not enrolled, some college","married, spouse present",hispanic,some of the time,marijuana_anydrug,False,male,Unknown,False,3,False,1,4,False,False,False,190,67,22,True,True,False,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, some college, and current marriage status is married, spouse present, and race is hispanic, and monthly frequency of severe depression is some of the time, and used any drug except cocaine past 3 years is marijuana_anydrug, and homeless for 2 or more nights in past 5 years is False, and sex is male, and grew up at age 12 in area is Unknown, and other adult family member in jail past 5 years is False, and number of previous arrests is 3, and believes God has nothing to do with me is False, and number of jobs held in past year is 1, and household size  as teen is 4, and used cocaine past 3 years is False, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 190, and height in inches is 67, and age is 22, and often asks God for help is True, and number of previous convictions is True"
23,both biological parents,"not enrolled, some college","never married, not cohabiting",hispanic,some of the time,marijuana_anydrug,False,male,urban,False,6,False,1,3,True,True,False,140,68,22,True,True,True,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, some college, and current marriage status is never married, not cohabiting, and race is hispanic, and monthly frequency of severe depression is some of the time, and used any drug except cocaine past 3 years is marijuana_anydrug, and homeless for 2 or more nights in past 5 years is False, and sex is male, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of previous arrests is 6, and believes God has nothing to do with me is False, and number of jobs held in past year is 1, and household size  as teen is 3, and used cocaine past 3 years is True, and victim of violent crime past 5 years is True, and used food stamps in past year is False, and weight in pounds is 140, and height in inches is 68, and age is 22, and often asks God for help is True, and number of previous convictions is True"
24,Unknown,"not enrolled, high school degree","never married, cohabiting",hispanic,some of the time,,False,female,Unknown,False,1,True,1,7,False,False,False,117,65,19,True,False,False,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, high school degree, and current marriage status is never married, cohabiting, and race is hispanic, and monthly frequency of severe depression is some of the time, and used any drug except cocaine past 3 years is nan, and homeless for 2 or more nights in past 5 years is False, and sex is female, and grew up at age 12 in area is Unknown, and other adult family member in jail past 5 years is False, and number of previous arrests is 1, and believes God has nothing to do with me is True, and number of jobs held in past year is 1, and household size  as teen is 7, and used cocaine past 3 years is False, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 117, and height in inches is 65, and age is 19, and often asks God for help is True, and number of previous convictions is False"
25,both biological parents,"not enrolled, high school degree","never married, not cohabiting",white,none of the time,marijuana_anydrug,False,male,urban,False,2,True,3,5,True,False,False,155,71,22,False,True,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, high school degree, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is none of the time, and used any drug except cocaine past 3 years is marijuana_anydrug, and homeless for 2 or more nights in past 5 years is False, and sex is male, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of previous arrests is 2, and believes God has nothing to do with me is True, and number of jobs held in past year is 3, and household size  as teen is 5, and used cocaine past 3 years is True, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 155, and height in inches is 71, and age is 22, and often asks God for help is False, and number of previous convictions is True"
26,both biological parents,"not enrolled, no high school degree, no GED","never married, not cohabiting",white,some of the time,marijuana_anydrug,False,male,urban,False,1,False,3,5,True,False,False,180,83,18,False,True,True,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, no high school degree, no GED, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is some of the time, and used any drug except cocaine past 3 years is marijuana_anydrug, and homeless for 2 or more nights in past 5 years is False, and sex is male, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of previous arrests is 1, and believes God has nothing to do with me is False, and number of jobs held in past year is 3, and household size  as teen is 5, and used cocaine past 3 years is True, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 180, and height in inches is 83, and age is 18, and often asks God for help is False, and number of previous convictions is True"
27,Unknown,"not enrolled, GED","never married, not cohabiting",black,none of the time,marijuana_anydrug,False,male,Unknown,False,1,True,1,6,False,False,False,135,71,19,False,False,False,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, GED, and current marriage status is never married, not cohabiting, and race is black, and monthly frequency of severe depression is none of the time, and used any drug except cocaine past 3 years is marijuana_anydrug, and homeless for 2 or more nights in past 5 years is False, and sex is male, and grew up at age 12 in area is Unknown, and other adult family member in jail past 5 years is False, and number of previous arrests is 1, and believes God has nothing to do with me is True, and number of jobs held in past year is 1, and household size  as teen is 6, and used cocaine past 3 years is False, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 135, and height in inches is 71, and age is 19, and often asks God for help is False, and number of previous convictions is False"
28,both biological parents,"not enrolled, some college","never married, not cohabiting",white,all of the time,marijuana_anydrug,False,female,urban,False,1,False,2,4,True,False,False,139,64,21,False,False,True,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, some college, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is all of the time, and used any drug except cocaine past 3 years is marijuana_anydrug, and homeless for 2 or more nights in past 5 years is False, and sex is female, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of previous arrests is 1, and believes God has nothing to do with me is False, and number of jobs held in past year is 2, and household size  as teen is 4, and used cocaine past 3 years is True, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 139, and height in inches is 64, and age is 21, and often asks God for help is False, and number of previous convictions is False"
29,both biological parents,"not enrolled, some college","never married, not cohabiting",white,none of the time,marijuana_anydrug,False,female,urban,True,2,False,4,4,True,False,False,180,66,18,True,False,True,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, some college, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is none of the time, and used any drug except cocaine past 3 years is marijuana_anydrug, and homeless for 2 or more nights in past 5 years is False, and sex is female, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is True, and number of previous arrests is 2, and believes God has nothing to do with me is False, and number of jobs held in past year is 4, and household size  as teen is 4, and used cocaine past 3 years is True, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 180, and height in inches is 66, and age is 18, and often asks God for help is True, and number of previous convictions is False"
30,"biological mother, marital status unknown","enrolled in grades 1-12, not a high school graduate","never married, not cohabiting",hispanic,some of the time,marijuana_anydrug,False,female,urban,False,1,False,3,6,False,False,False,212,61,20,True,False,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is enrolled in grades 1-12, not a high school graduate, and current marriage status is never married, not cohabiting, and race is hispanic, and monthly frequency of severe depression is some of the time, and used any drug except cocaine past 3 years is marijuana_anydrug, and homeless for 2 or more nights in past 5 years is False, and sex is female, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of previous arrests is 1, and believes God has nothing to do with me is False, and number of jobs held in past year is 3, and household size  as teen is 6, and used cocaine past 3 years is False, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 212, and height in inches is 61, and age is 20, and often asks God for help is True, and number of previous convictions is False"
31,"biological mother, marital status unknown","not enrolled, some college","never married, not cohabiting",white,none of the time,marijuana_anydrug,False,male,urban,False,2,True,1,5,True,False,False,130,66,22,True,False,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, some college, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is none of the time, and used any drug except cocaine past 3 years is marijuana_anydrug, and homeless for 2 or more nights in past 5 years is False, and sex is male, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of previous arrests is 2, and believes God has nothing to do with me is True, and number of jobs held in past year is 1, and household size  as teen is 5, and used cocaine past 3 years is True, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 130, and height in inches is 66, and age is 22, and often asks God for help is True, and number of previous convictions is False"
32,"biological mother, marital status unknown","not enrolled, some college","never married, not cohabiting",white,none of the time,marijuana_anydrug,False,female,urban,False,1,False,1,4,False,False,False,187,68,22,False,False,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, some college, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is none of the time, and used any drug except cocaine past 3 years is marijuana_anydrug, and homeless for 2 or more nights in past 5 years is False, and sex is female, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of previous arrests is 1, and believes God has nothing to do with me is False, and number of jobs held in past year is 1, and household size  as teen is 4, and used cocaine past 3 years is False, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 187, and height in inches is 68, and age is 22, and often asks God for help is False, and number of previous convictions is False"
33,both biological parents,enrolled in a 4-year college,"never married, not cohabiting",black,none of the time,marijuana_anydrug,False,male,urban,False,1,True,3,4,False,True,False,162,69,20,True,False,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is enrolled in a 4-year college, and current marriage status is never married, not cohabiting, and race is black, and monthly frequency of severe depression is none of the time, and used any drug except cocaine past 3 years is marijuana_anydrug, and homeless for 2 or more nights in past 5 years is False, and sex is male, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of previous arrests is 1, and believes God has nothing to do with me is True, and number of jobs held in past year is 3, and household size  as teen is 4, and used cocaine past 3 years is False, and victim of violent crime past 5 years is True, and used food stamps in past year is False, and weight in pounds is 162, and height in inches is 69, and age is 20, and often asks God for help is True, and number of previous convictions is False"
34,Unknown,"not enrolled, GED","married, spouse present",asian or pacific islander,none of the time,,False,male,Unknown,True,1,False,2,5,False,False,False,240,71,20,True,False,False,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, GED, and current marriage status is married, spouse present, and race is asian or pacific islander, and monthly frequency of severe depression is none of the time, and used any drug except cocaine past 3 years is nan, and homeless for 2 or more nights in past 5 years is False, and sex is male, and grew up at age 12 in area is Unknown, and other adult family member in jail past 5 years is True, and number of previous arrests is 1, and believes God has nothing to do with me is False, and number of jobs held in past year is 2, and household size  as teen is 5, and used cocaine past 3 years is False, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 240, and height in inches is 71, and age is 20, and often asks God for help is True, and number of previous convictions is False"
